"id","color","county"
"01001",1,"Autauga County, AL"
"01003",4,"Baldwin County, AL"
"01005",1,"Barbour County, AL"
"01007",1,"Bibb County, AL"
"01009",4,"Blount County, AL"
"01011",3,"Bullock County, AL"
"01013",2,"Butler County, AL"
"01015",3,"Calhoun County, AL"
"01017",2,"Chambers County, AL"
"01019",1,"Cherokee County, AL"
"01021",4,"Chilton County, AL"
"01023",2,"Choctaw County, AL"
"01025",3,"Clarke County, AL"
"01027",1,"Clay County, AL"
"01029",2,"Cleburne County, AL"
"01031",3,"Coffee County, AL"
"01033",3,"Colbert County, AL"
"01035",3,"Conecuh County, AL"
"01037",2,"Coosa County, AL"
"01039",4,"Covington County, AL"
"01041",1,"Crenshaw County, AL"
"01043",3,"Cullman County, AL"
"01045",4,"Dale County, AL"
"01047",2,"Dallas County, AL"
"01049",4,"DeKalb County, AL"
"01051",3,"Elmore County, AL"
"01053",2,"Escambia County, AL"
"01055",2,"Etowah County, AL"
"01057",4,"Fayette County, AL"
"01059",4,"Franklin County, AL"
"01061",1,"Geneva County, AL"
"01063",4,"Greene County, AL"
"01065",2,"Hale County, AL"
"01067",2,"Henry County, AL"
"01069",3,"Houston County, AL"
"01071",2,"Jackson County, AL"
"01073",2,"Jefferson County, AL"
"01075",1,"Lamar County, AL"
"01077",4,"Lauderdale County, AL"
"01079",1,"Lawrence County, AL"
"01081",1,"Lee County, AL"
"01083",3,"Limestone County, AL"
"01085",3,"Lowndes County, AL"
"01087",2,"Macon County, AL"
"01089",4,"Madison County, AL"
"01091",1,"Marengo County, AL"
"01093",3,"Marion County, AL"
"01095",1,"Marshall County, AL"
"01097",3,"Mobile County, AL"
"01099",1,"Monroe County, AL"
"01101",4,"Montgomery County, AL"
"01103",2,"Morgan County, AL"
"01105",3,"Perry County, AL"
"01107",2,"Pickens County, AL"
"01109",2,"Pike County, AL"
"01111",3,"Randolph County, AL"
"01113",4,"Russell County, AL"
"01115",1,"St. Clair County, AL"
"01117",3,"Shelby County, AL"
"01119",3,"Sumter County, AL"
"01121",4,"Talladega County, AL"
"01123",4,"Tallapoosa County, AL"
"01125",3,"Tuscaloosa County, AL"
"01127",1,"Walker County, AL"
"01129",1,"Washington County, AL"
"01131",4,"Wilcox County, AL"
"01133",2,"Winston County, AL"
"02013",2,"Aleutians East Borough, AK"
"02016",1,"Aleutians West Census Area, AK"
"02020",3,"Anchorage Municipality, AK"
"02050",3,"Bethel Census Area, AK"
"02060",4,"Bristol Bay Borough, AK"
"02068",3,"Denali Borough, AK"
"02070",2,"Dillingham Census Area, AK"
"02090",2,"Fairbanks North Star Borough, AK"
"02100",2,"Haines Borough, AK"
"02105",1,"Hoonah-Angoon Census Area, AK"
"02110",4,"Juneau City and Borough, AK"
"02122",4,"Kenai Peninsula Borough, AK"
"02130",2,"Ketchikan Gateway Borough, AK"
"02150",2,"Kodiak Island Borough, AK"
"02164",1,"Lake and Peninsula Borough, AK"
"02170",2,"Matanuska-Susitna Borough, AK"
"02180",3,"Nome Census Area, AK"
"02185",4,"North Slope Borough, AK"
"02188",2,"Northwest Arctic Borough, AK"
"02195",2,"Petersburg Census Area, AK"
"02198",1,"Prince of Wales-Hyder Census Area, AK"
"02220",4,"Sitka City and Borough, AK"
"02230",1,"Skagway Municipality, AK"
"02240",4,"Southeast Fairbanks Census Area, AK"
"02261",1,"Valdez-Cordova Census Area, AK"
"02270",2,"Wade Hampton Census Area, AK"
"02275",4,"Wrangell City and Borough, AK"
"02282",2,"Yakutat City and Borough, AK"
"02290",1,"Yukon-Koyukuk Census Area, AK"
"04001",1,"Apache County, AZ"
"04003",1,"Cochise County, AZ"
"04005",3,"Coconino County, AZ"
"04007",4,"Gila County, AZ"
"04009",3,"Graham County, AZ"
"04011",2,"Greenlee County, AZ"
"04012",4,"La Paz County, AZ"
"04013",2,"Maricopa County, AZ"
"04015",2,"Mohave County, AZ"
"04017",2,"Navajo County, AZ"
"04019",4,"Pima County, AZ"
"04021",1,"Pinal County, AZ"
"04023",2,"Santa Cruz County, AZ"
"04025",1,"Yavapai County, AZ"
"04027",1,"Yuma County, AZ"
"05001",2,"Arkansas County, AR"
"05003",2,"Ashley County, AR"
"05005",3,"Baxter County, AR"
"05007",1,"Benton County, AR"
"05009",2,"Boone County, AR"
"05011",4,"Bradley County, AR"
"05013",1,"Calhoun County, AR"
"05015",4,"Carroll County, AR"
"05017",4,"Chicot County, AR"
"05019",1,"Clark County, AR"
"05021",1,"Clay County, AR"
"05023",3,"Cleburne County, AR"
"05025",2,"Cleveland County, AR"
"05027",1,"Columbia County, AR"
"05029",2,"Conway County, AR"
"05031",2,"Craighead County, AR"
"05033",4,"Crawford County, AR"
"05035",1,"Crittenden County, AR"
"05037",2,"Cross County, AR"
"05039",3,"Dallas County, AR"
"05041",1,"Desha County, AR"
"05043",3,"Drew County, AR"
"05045",4,"Faulkner County, AR"
"05047",1,"Franklin County, AR"
"05049",2,"Fulton County, AR"
"05051",4,"Garland County, AR"
"05053",4,"Grant County, AR"
"05055",3,"Greene County, AR"
"05057",1,"Hempstead County, AR"
"05059",2,"Hot Spring County, AR"
"05061",4,"Howard County, AR"
"05063",4,"Independence County, AR"
"05065",1,"Izard County, AR"
"05067",3,"Jackson County, AR"
"05069",3,"Jefferson County, AR"
"05071",4,"Johnson County, AR"
"05073",4,"Lafayette County, AR"
"05075",1,"Lawrence County, AR"
"05077",2,"Lee County, AR"
"05079",4,"Lincoln County, AR"
"05081",3,"Little River County, AR"
"05083",2,"Logan County, AR"
"05085",1,"Lonoke County, AR"
"05087",2,"Madison County, AR"
"05089",1,"Marion County, AR"
"05091",2,"Miller County, AR"
"05093",3,"Mississippi County, AR"
"05095",1,"Monroe County, AR"
"05097",3,"Montgomery County, AR"
"05099",3,"Nevada County, AR"
"05101",1,"Newton County, AR"
"05103",4,"Ouachita County, AR"
"05105",3,"Perry County, AR"
"05107",4,"Phillips County, AR"
"05109",2,"Pike County, AR"
"05111",4,"Poinsett County, AR"
"05113",1,"Polk County, AR"
"05115",3,"Pope County, AR"
"05117",3,"Prairie County, AR"
"05119",2,"Pulaski County, AR"
"05121",2,"Randolph County, AR"
"05123",3,"St. Francis County, AR"
"05125",1,"Saline County, AR"
"05127",4,"Scott County, AR"
"05129",4,"Searcy County, AR"
"05131",3,"Sebastian County, AR"
"05133",2,"Sevier County, AR"
"05135",3,"Sharp County, AR"
"05137",2,"Stone County, AR"
"05139",3,"Union County, AR"
"05141",1,"Van Buren County, AR"
"05143",3,"Washington County, AR"
"05145",2,"White County, AR"
"05147",4,"Woodruff County, AR"
"05149",1,"Yell County, AR"
"06001",1,"Alameda County, CA"
"06003",4,"Alpine County, CA"
"06005",3,"Amador County, CA"
"06007",3,"Butte County, CA"
"06009",1,"Calaveras County, CA"
"06011",2,"Colusa County, CA"
"06013",3,"Contra Costa County, CA"
"06015",1,"Del Norte County, CA"
"06017",1,"El Dorado County, CA"
"06019",4,"Fresno County, CA"
"06021",1,"Glenn County, CA"
"06023",2,"Humboldt County, CA"
"06025",3,"Imperial County, CA"
"06027",2,"Inyo County, CA"
"06029",4,"Kern County, CA"
"06031",3,"Kings County, CA"
"06033",4,"Lake County, CA"
"06035",2,"Lassen County, CA"
"06037",2,"Los Angeles County, CA"
"06039",2,"Madera County, CA"
"06041",2,"Marin County, CA"
"06043",1,"Mariposa County, CA"
"06045",3,"Mendocino County, CA"
"06047",3,"Merced County, CA"
"06049",1,"Modoc County, CA"
"06051",1,"Mono County, CA"
"06053",2,"Monterey County, CA"
"06055",2,"Napa County, CA"
"06057",2,"Nevada County, CA"
"06059",3,"Orange County, CA"
"06061",3,"Placer County, CA"
"06063",4,"Plumas County, CA"
"06065",2,"Riverside County, CA"
"06067",2,"Sacramento County, CA"
"06069",1,"San Benito County, CA"
"06071",1,"San Bernardino County, CA"
"06073",1,"San Diego County, CA"
"06075",4,"San Francisco County, CA"
"06077",4,"San Joaquin County, CA"
"06079",1,"San Luis Obispo County, CA"
"06081",2,"San Mateo County, CA"
"06083",3,"Santa Barbara County, CA"
"06085",4,"Santa Clara County, CA"
"06087",3,"Santa Cruz County, CA"
"06089",3,"Shasta County, CA"
"06091",3,"Sierra County, CA"
"06093",4,"Siskiyou County, CA"
"06095",4,"Solano County, CA"
"06097",1,"Sonoma County, CA"
"06099",2,"Stanislaus County, CA"
"06101",4,"Sutter County, CA"
"06103",2,"Tehama County, CA"
"06105",1,"Trinity County, CA"
"06107",1,"Tulare County, CA"
"06109",3,"Tuolumne County, CA"
"06111",1,"Ventura County, CA"
"06113",3,"Yolo County, CA"
"06115",1,"Yuba County, CA"
"08001",4,"Adams County, CO"
"08003",1,"Alamosa County, CO"
"08005",1,"Arapahoe County, CO"
"08007",4,"Archuleta County, CO"
"08009",1,"Baca County, CO"
"08011",4,"Bent County, CO"
"08013",4,"Boulder County, CO"
"08014",1,"Broomfield County, CO"
"08015",3,"Chaffee County, CO"
"08017",3,"Cheyenne County, CO"
"08019",4,"Clear Creek County, CO"
"08021",2,"Conejos County, CO"
"08023",3,"Costilla County, CO"
"08025",4,"Crowley County, CO"
"08027",3,"Custer County, CO"
"08029",1,"Delta County, CO"
"08031",2,"Denver County, CO"
"08033",2,"Dolores County, CO"
"08035",2,"Douglas County, CO"
"08037",2,"Eagle County, CO"
"08039",4,"Elbert County, CO"
"08041",3,"El Paso County, CO"
"08043",4,"Fremont County, CO"
"08045",3,"Garfield County, CO"
"08047",1,"Gilpin County, CO"
"08049",3,"Grand County, CO"
"08051",4,"Gunnison County, CO"
"08053",3,"Hinsdale County, CO"
"08055",4,"Huerfano County, CO"
"08057",2,"Jackson County, CO"
"08059",3,"Jefferson County, CO"
"08061",1,"Kiowa County, CO"
"08063",4,"Kit Carson County, CO"
"08065",4,"Lake County, CO"
"08067",1,"La Plata County, CO"
"08069",1,"Larimer County, CO"
"08071",2,"Las Animas County, CO"
"08073",2,"Lincoln County, CO"
"08075",4,"Logan County, CO"
"08077",2,"Mesa County, CO"
"08079",1,"Mineral County, CO"
"08081",3,"Moffat County, CO"
"08083",3,"Montezuma County, CO"
"08085",3,"Montrose County, CO"
"08087",2,"Morgan County, CO"
"08089",3,"Otero County, CO"
"08091",2,"Ouray County, CO"
"08093",2,"Park County, CO"
"08095",3,"Phillips County, CO"
"08097",1,"Pitkin County, CO"
"08099",2,"Prowers County, CO"
"08101",1,"Pueblo County, CO"
"08103",2,"Rio Blanco County, CO"
"08105",3,"Rio Grande County, CO"
"08107",1,"Routt County, CO"
"08109",2,"Saguache County, CO"
"08111",4,"San Juan County, CO"
"08113",1,"San Miguel County, CO"
"08115",2,"Sedgwick County, CO"
"08117",1,"Summit County, CO"
"08119",1,"Teller County, CO"
"08121",3,"Washington County, CO"
"08123",3,"Weld County, CO"
"08125",1,"Yuma County, CO"
"09001",3,"Fairfield County, CT"
"09003",2,"Hartford County, CT"
"09005",4,"Litchfield County, CT"
"09007",3,"Middlesex County, CT"
"09009",1,"New Haven County, CT"
"09011",1,"New London County, CT"
"09013",3,"Tolland County, CT"
"09015",4,"Windham County, CT"
"10001",1,"Kent County, DE"
"10003",3,"New Castle County, DE"
"10005",2,"Sussex County, DE"
"11001",2,"District of Columbia, DC"
"12001",2,"Alachua County, FL"
"12003",2,"Baker County, FL"
"12005",3,"Bay County, FL"
"12007",3,"Bradford County, FL"
"12009",1,"Brevard County, FL"
"12011",1,"Broward County, FL"
"12013",1,"Calhoun County, FL"
"12015",1,"Charlotte County, FL"
"12017",1,"Citrus County, FL"
"12019",4,"Clay County, FL"
"12021",2,"Collier County, FL"
"12023",3,"Columbia County, FL"
"12027",3,"DeSoto County, FL"
"12029",3,"Dixie County, FL"
"12031",1,"Duval County, FL"
"12033",3,"Escambia County, FL"
"12035",4,"Flagler County, FL"
"12037",3,"Franklin County, FL"
"12039",3,"Gadsden County, FL"
"12041",1,"Gilchrist County, FL"
"12043",2,"Glades County, FL"
"12045",4,"Gulf County, FL"
"12047",1,"Hamilton County, FL"
"12049",1,"Hardee County, FL"
"12051",3,"Hendry County, FL"
"12053",2,"Hernando County, FL"
"12055",4,"Highlands County, FL"
"12057",2,"Hillsborough County, FL"
"12059",3,"Holmes County, FL"
"12061",4,"Indian River County, FL"
"12063",4,"Jackson County, FL"
"12065",2,"Jefferson County, FL"
"12067",2,"Lafayette County, FL"
"12069",1,"Lake County, FL"
"12071",4,"Lee County, FL"
"12073",4,"Leon County, FL"
"12075",4,"Levy County, FL"
"12077",2,"Liberty County, FL"
"12079",3,"Madison County, FL"
"12081",4,"Manatee County, FL"
"12083",3,"Marion County, FL"
"12085",2,"Martin County, FL"
"12086",3,"Miami-Dade County, FL"
"12087",4,"Monroe County, FL"
"12089",4,"Nassau County, FL"
"12091",3,"Okaloosa County, FL"
"12093",1,"Okeechobee County, FL"
"12095",4,"Orange County, FL"
"12097",2,"Osceola County, FL"
"12099",4,"Palm Beach County, FL"
"12101",1,"Pasco County, FL"
"12103",3,"Pinellas County, FL"
"12105",3,"Polk County, FL"
"12107",1,"Putnam County, FL"
"12109",3,"St. Johns County, FL"
"12111",3,"St. Lucie County, FL"
"12113",1,"Santa Rosa County, FL"
"12115",2,"Sarasota County, FL"
"12117",3,"Seminole County, FL"
"12119",4,"Sumter County, FL"
"12121",4,"Suwannee County, FL"
"12123",1,"Taylor County, FL"
"12125",1,"Union County, FL"
"12127",2,"Volusia County, FL"
"12129",1,"Wakulla County, FL"
"12131",2,"Walton County, FL"
"12133",1,"Washington County, FL"
"13001",4,"Appling County, GA"
"13003",2,"Atkinson County, GA"
"13005",2,"Bacon County, GA"
"13007",2,"Baker County, GA"
"13009",3,"Baldwin County, GA"
"13011",1,"Banks County, GA"
"13013",1,"Barrow County, GA"
"13015",2,"Bartow County, GA"
"13017",3,"Ben Hill County, GA"
"13019",1,"Berrien County, GA"
"13021",3,"Bibb County, GA"
"13023",2,"Bleckley County, GA"
"13025",2,"Brantley County, GA"
"13027",4,"Brooks County, GA"
"13029",4,"Bryan County, GA"
"13031",1,"Bulloch County, GA"
"13033",1,"Burke County, GA"
"13035",1,"Butts County, GA"
"13037",4,"Calhoun County, GA"
"13039",3,"Camden County, GA"
"13043",2,"Candler County, GA"
"13045",4,"Carroll County, GA"
"13047",4,"Catoosa County, GA"
"13049",1,"Charlton County, GA"
"13051",1,"Chatham County, GA"
"13053",1,"Chattahoochee County, GA"
"13055",2,"Chattooga County, GA"
